houseid,mileage,census_d,census_r,drvrcnt,hhloc,hhsize,hh_0to4,hh_race,msasize,numadult,popdnsty,ref_age,ref_educ,ref_sex,wrkrcnt,hh_5to21,income,ntrip,pur_recr,pur_shop,pur_work,auttrcnt,pur_hbot,pur_nhb,no_trans,urban
9348,170,5,3,2,2,2,0,1,4,2,3,44,2,1,2,0,77500,10,0,0,4,2,0,6,1,0
9352,51,5,3,1,1,1,0,1,4,1,9,28,2,0,1,0,36153,9,0,0,0,1,2,7,0,1
9368,42,5,3,2,3,3,1,2,94,2,2,29,1,0,2,0,52500,8,0,1,1,2,2,4,1,0
9375,146,5,3,3,2,3,0,1,4,2,2,40,1,1,2,1,47500,6,0,2,2,4,0,2,1,0
9384,20,5,3,2,1,3,1,1,4,2,8,33,3,1,2,0,47500,21,4,0,4,2,5,8,0,1
9396,60,5,3,2,2,2,0,1,4,1,3,47,2,0,1,1,27500,4,0,0,2,3,2,0,1,0
9399,179,5,3,2,1,4,0,1,4,2,6,38,2,0,1,2,67500,24,2,2,2,2,14,4,1,1
9433,110,5,3,2,2,3,0,1,2,2,2,37,2,1,2,1,7500,8,0,0,3,2,2,3,1,0
9440,70,5,3,2,2,3,1,1,4,2,3,28,2,0,2,0,27500,7,0,0,3,2,1,3,1,0
9451,30,5,3,2,2,3,0,1,4,2,4,48,1,1,1,1,7500,8,0,3,2,1,3,0,0,1
9453,108,5,3,2,2,3,1,1,4,2,3,28,1,1,2,0,42500,8,0,0,2,3,6,0,1,0
9461,162,7,3,2,3,5,0,1,94,2,1,37,2,1,1,3,32100,16,4,0,2,3,10,0,1,0
9484,368,7,3,4,2,4,0,3,3,3,1,40,3,1,3,1,32100,16,0,0,3,4,7,6,1,0
9493,331,7,3,2,1,4,0,1,3,2,2,36,1,1,2,2,17500,16,0,0,3,1,5,8,1,1
9495,248,7,3,4,1,4,0,1,3,4,4,58,2,1,3,0,12500,16,0,6,4,3,2,4,1,1
9506,94,7,3,2,2,3,0,3,3,2,3,45,2,1,2,1,52500,8,0,0,4,3,2,2,1,0
9508,60,7,3,2,2,4,2,1,3,2,3,32,2,1,2,0,52500,11,0,0,3,2,1,7,1,0
9519,22,7,3,2,1,3,1,1,3,2,4,43,3,1,2,0,37500,9,2,0,6,2,1,0,1,1
9524,29,7,3,2,1,4,2,1,3,2,2,26,2,0,2,0,17500,7,0,1,4,2,1,1,1,1
9526,22,7,3,2,3,2,0,1,94,1,1,42,1,0,2,1,32100,2,0,0,0,1,2,0,1,0
9532,7,7,3,1,3,2,0,1,94,2,1,82,1,0,1,0,7500,7,0,0,2,1,2,3,1,0
9533,72,7,3,2,2,2,0,1,3,2,2,50,1,1,0,0,32100,4,0,0,0,3,4,0,1,0
9550,0,7,3,1,3,2,0,1,94,2,1,82,1,1,0,0,12500,0,0,0,0,2,0,0,1,0
9562,0,7,3,2,1,2,0,1,3,2,4,66,1,1,0,0,12500,0,0,0,0,1,0,0,1,1
9585,54,7,3,2,1,6,1,1,3,2,6,37,2,1,1,3,17500,17,0,4,2,2,8,3,0,1
9593,8,7,3,2,3,2,0,1,94,2,1,55,1,0,1,0,32500,6,0,2,2,2,2,0,1,0
9609,32,8,4,2,3,5,1,1,94,2,2,34,1,0,2,2,37500,21,4,2,3,3,5,7,0,0
9621,17,8,4,1,3,2,0,1,94,2,1,47,2,1,0,0,17500,6,2,0,0,1,2,2,1,0
9623,165,8,4,2,3,4,0,1,94,2,1,38,2,1,2,2,22500,31,8,0,3,4,5,15,1,0
9639,6,8,4,1,1,1,0,1,1,1,3,59,1,0,0,0,35789,4,0,4,0,0,0,0,0,1
9649,4,8,4,1,1,1,0,1,1,1,3,62,2,0,0,0,17500,2,0,2,0,2,0,0,0,1
9650,76,8,4,2,1,6,1,2,1,2,6,37,2,0,2,3,42500,33,5,0,4,2,15,9,0,1
9651,32,8,4,3,1,6,1,1,1,3,3,46,3,1,2,2,62500,18,0,0,3,2,9,6,0,1
9683,131,8,4,2,3,3,1,1,94,2,1,30,1,1,2,0,32500,5,1,0,2,2,1,1,1,0
9684,41,8,4,1,3,3,0,1,94,1,3,41,2,1,1,2,37500,13,0,0,0,2,11,2,0,0
9695,114,8,4,2,3,2,0,1,94,2,1,38,1,1,2,0,72500,6,0,0,4,4,0,2,1,0
9696,43,8,4,2,3,2,0,1,94,2,1,69,2,1,0,0,27500,13,0,2,2,2,8,1,1,0
9713,114,5,3,1,1,1,0,1,2,1,4,47,2,1,1,0,47500,4,0,0,2,1,2,0,1,1
9728,22,5,3,1,2,2,0,1,4,2,6,60,2,0,1,0,57500,2,0,0,2,2,0,0,0,1
9794,18,5,3,1,2,3,0,1,2,2,2,33,1,1,0,1,12500,7,0,0,0,1,6,1,1,0
9798,20,5,3,2,1,2,0,1,4,2,8,31,1,0,2,0,36153,4,0,0,0,2,4,0,0,1
9803,8,5,3,2,2,2,0,1,4,2,8,24,2,1,2,0,22500,4,0,0,1,2,1,2,0,1
9823,125,5,3,1,1,1,0,1,2,1,7,25,2,0,1,0,22500,3,0,0,0,1,0,3,1,1
9846,3,5,3,1,2,2,0,1,3,2,2,36,2,0,1,0,100000,3,0,0,2,1,0,1,1,0
9909,0,9,4,0,1,1,0,1,5,1,10,73,1,0,0,0,39593,0,0,0,0,0,0,0,1,1
9915,15,9,4,2,1,2,0,1,5,2,9,59,2,1,2,0,12500,5,0,2,2,2,0,1,0,1
9916,215,9,4,3,1,3,0,1,5,2,11,58,2,1,2,1,39593,8,2,0,4,4,0,2,0,1
9922,132,9,4,2,1,4,1,1,5,3,11,36,2,0,2,0,7500,19,0,8,2,1,6,3,0,1
9932,10,9,4,1,2,1,0,1,2,1,10,77,1,0,0,0,22500,2,0,2,0,1,0,0,0,1
9935,0,9,4,1,1,2,0,1,2,2,6,54,1,1,1,0,22500,2,0,0,2,0,0,0,0,1
9945,16,9,4,2,2,2,0,1,5,2,3,45,2,1,1,0,72500,4,0,2,0,3,2,0,1,0
9958,80,9,4,1,2,1,0,1,5,1,4,28,2,1,1,0,32500,11,2,0,0,1,2,7,0,1
9961,82,9,4,2,2,3,1,1,2,2,2,38,2,0,2,0,32500,9,0,0,3,2,1,5,0,0
9975,547,9,4,1,2,4,2,3,5,2,3,31,1,1,1,0,22500,12,0,0,0,3,2,10,1,0
10023,63,9,4,2,2,5,1,3,5,2,6,41,3,1,2,2,77500,16,0,0,3,2,11,2,1,1
10037,158,7,3,4,2,7,0,1,5,2,3,46,2,1,4,5,32100,50,1,12,4,4,15,18,1,0
10047,145,7,3,2,2,3,0,1,5,2,1,38,2,1,2,1,57500,22,0,0,2,2,6,14,1,0
10052,12,7,3,1,2,1,0,1,2,1,2,42,1,0,1,0,32100,8,0,0,2,2,0,6,1,0
10062,162,7,3,1,2,2,0,1,2,2,2,50,1,1,1,0,42500,13,0,0,1,3,4,8,1,0
10079,103,7,3,2,3,2,0,1,94,2,1,67,1,0,1,0,32100,3,0,0,0,2,2,1,1,0
10086,290,7,3,3,3,3,0,1,94,1,1,53,1,0,2,2,17500,17,0,1,0,3,8,8,1,0
10089,46,7,3,2,2,2,0,1,1,2,1,22,2,0,1,0,32100,5,0,4,0,2,0,1,1,0
10092,27,7,3,1,1,2,0,1,1,2,6,28,2,1,1,0,27500,6,0,0,2,2,0,4,1,1
10103,83,7,3,2,2,2,0,1,2,2,3,41,1,0,1,0,100000,9,0,0,2,4,2,5,0,0
10135,4,7,3,1,3,1,0,1,94,1,1,63,1,0,0,0,7500,5,0,0,0,1,5,0,1,0
